Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,"Dec 04, 2019",1.29,1.32,1.25,1.25,"46,048,752","824,588,509"
tezos,"Dec 03, 2019",1.24,1.32,1.21,1.29,"41,462,224","853,213,342"
tezos,"Dec 02, 2019",1.25,1.26,1.2,1.24,"27,574,097","817,872,179"
tezos,"Dec 01, 2019",1.33,1.34,1.25,1.25,"24,127,567","828,296,390"
tezos,"Nov 30, 2019",1.31,1.37,1.31,1.33,"28,706,667","879,181,680"
tezos,"Nov 29, 2019",1.28,1.34,1.28,1.31,"32,270,224","867,085,098"
tezos,"Nov 28, 2019",1.26,1.35,1.22,1.28,"44,240,281","845,073,679"
tezos,"Nov 27, 2019",1.24,1.27,1.16,1.26,"47,723,271","829,672,736"
tezos,"Nov 26, 2019",1.24,1.28,1.23,1.24,"54,828,808","822,065,277"
tezos,"Nov 25, 2019",1.33,1.33,1.21,1.24,"64,954,006","815,688,075"
tezos,"Nov 24, 2019",1.4,1.42,1.31,1.34,"49,206,070","887,731,654"
tezos,"Nov 23, 2019",1.22,1.42,1.22,1.39,"123,832,790","920,735,790"
tezos,"Nov 22, 2019",1.21,1.28,1.08,1.22,"69,312,275","804,427,044"
tezos,"Nov 21, 2019",1.21,1.29,1.18,1.21,"53,020,027","800,257,863"
tezos,"Nov 20, 2019",1.22,1.25,1.17,1.21,"33,605,071","801,174,969"
tezos,"Nov 19, 2019",1.23,1.25,1.15,1.22,"35,796,763","805,231,584"
tezos,"Nov 18, 2019",1.16,1.26,1.16,1.23,"37,602,915","813,744,878"
tezos,"Nov 17, 2019",1.16,1.18,1.15,1.16,"22,483,167","767,707,353"
tezos,"Nov 16, 2019",1.17,1.18,1.16,1.16,"26,689,028","768,303,560"
tezos,"Nov 15, 2019",1.22,1.26,1.15,1.17,"32,203,363","773,992,543"
tezos,"Nov 14, 2019",1.13,1.3,1.11,1.22,"41,978,349","808,582,829"
tezos,"Nov 13, 2019",1.17,1.17,1.12,1.13,"23,410,839","746,750,215"
tezos,"Nov 12, 2019",1.18,1.2,1.15,1.17,"23,591,140","771,905,281"
tezos,"Nov 11, 2019",1.23,1.24,1.17,1.18,"25,012,739","776,358,941"
tezos,"Nov 10, 2019",1.25,1.25,1.19,1.23,"31,134,799","812,505,004"
tezos,"Nov 09, 2019",1.17,1.26,1.15,1.24,"34,760,712","819,630,519"
tezos,"Nov 08, 2019",1.22,1.28,1.12,1.17,"44,195,683","770,094,896"
tezos,"Nov 07, 2019",1.02,1.44,1.02,1.22,"92,805,360","805,246,128"
tezos,"Nov 06, 2019",0.927547,1.05,0.902417,1.02,"26,095,931","673,756,212"
tezos,"Nov 05, 2019",0.891802,0.929289,0.877752,0.927137,"13,420,498","612,256,490"
tezos,"Nov 04, 2019",0.868023,0.907127,0.8646,0.891802,"16,511,023","588,922,638"
tezos,"Nov 03, 2019",0.865785,0.874167,0.848911,0.868879,"11,444,717","573,784,519"
tezos,"Nov 02, 2019",0.878443,0.886302,0.857435,0.865528,"9,944,483","571,571,532"
tezos,"Nov 01, 2019",0.889461,0.891029,0.863507,0.877941,"12,684,201","579,768,933"
tezos,"Oct 31, 2019",0.914068,0.924062,0.873981,0.890512,"13,120,625","588,070,905"
tezos,"Oct 30, 2019",0.878168,0.969414,0.774601,0.914079,"23,084,998","603,633,344"
tezos,"Oct 29, 2019",0.871995,0.917937,0.82545,0.878892,"19,713,852","580,397,277"
tezos,"Oct 28, 2019",0.879748,0.928777,0.768318,0.875315,"24,337,121","578,034,790"
tezos,"Oct 27, 2019",0.836378,0.890216,0.688631,0.875154,"23,186,370","577,928,349"
tezos,"Oct 26, 2019",0.833823,0.92603,0.818766,0.831994,"20,293,463","549,426,804"
tezos,"Oct 25, 2019",0.767532,0.842798,0.762231,0.834757,"16,862,309","551,251,771"
tezos,"Oct 24, 2019",0.761316,0.780364,0.754028,0.768243,"14,425,427","507,327,662"
tezos,"Oct 23, 2019",0.838904,0.839336,0.755143,0.761316,"14,131,553","502,752,829"
tezos,"Oct 22, 2019",0.870816,0.879914,0.833186,0.838575,"11,567,380","553,772,790"
tezos,"Oct 21, 2019",0.877297,0.889119,0.866837,0.871432,"11,434,852","575,470,528"
tezos,"Oct 20, 2019",0.86545,0.884321,0.861892,0.877438,"9,297,806","579,437,174"
tezos,"Oct 19, 2019",0.879461,0.890271,0.861758,0.865266,"10,127,092","571,399,102"
bitcoin,"Dec 04, 2019","7,320.13","7,539.78","7,170.92","7,252.03","21,664,240,918","131,143,073,943"
bitcoin,"Dec 03, 2019","7,323.98","7,418.86","7,229.36","7,320.15","14,797,485,769","132,359,942,301"
bitcoin,"Dec 02, 2019","7,424.04","7,474.82","7,233.40","7,321.99","17,082,040,706","132,378,982,377"
bitcoin,"Dec 01, 2019","7,571.62","7,571.62","7,291.34","7,424.29","18,720,708,479","134,215,145,410"
bitcoin,"Nov 30, 2019","7,764.06","7,836.10","7,515.85","7,569.63","17,158,194,786","136,829,391,049"
bitcoin,"Nov 29, 2019","7,466.73","7,781.18","7,460.76","7,761.24","19,709,695,456","140,280,108,521"
bitcoin,"Nov 28, 2019","7,536.82","7,730.07","7,454.12","7,463.11","19,050,116,751","134,879,411,013"
bitcoin,"Nov 27, 2019","7,220.88","7,619.69","6,974.17","7,531.66","23,991,412,764","136,102,712,894"
bitcoin,"Nov 26, 2019","7,145.16","7,320.23","7,098.57","7,218.37","21,129,505,542","130,429,018,720"
bitcoin,"Nov 25, 2019","7,039.98","7,319.86","6,617.17","7,146.13","42,685,231,262","129,112,952,930"
bitcoin,"Nov 24, 2019","7,398.63","7,408.58","7,029.29","7,047.92","30,433,517,289","127,327,398,565"
bitcoin,"Nov 23, 2019","7,296.16","7,442.26","7,151.42","7,397.80","21,008,924,418","133,636,205,957"
bitcoin,"Nov 22, 2019","7,643.57","7,697.38","6,936.71","7,296.58","34,242,315,785","131,791,783,672"
bitcoin,"Nov 21, 2019","8,023.64","8,110.10","7,597.38","7,642.75","22,514,243,371","138,031,885,379"
bitcoin,"Nov 20, 2019","8,203.61","8,237.24","8,010.51","8,027.27","20,764,300,437","144,962,727,398"
bitcoin,"Nov 19, 2019","8,305.13","8,408.52","8,099.96","8,206.15","21,083,613,816","148,178,376,843"
bitcoin,"Nov 18, 2019","8,573.98","8,653.28","8,273.57","8,309.29","21,579,470,673","150,025,712,267"
bitcoin,"Nov 17, 2019","8,549.47","8,727.79","8,500.97","8,577.98","18,668,638,897","154,861,842,425"
bitcoin,"Nov 16, 2019","8,491.17","8,592.00","8,473.97","8,550.76","16,495,389,808","154,354,054,194"
bitcoin,"Nov 15, 2019","8,705.71","8,730.87","8,484.84","8,491.99","21,796,856,471","153,277,483,626"
bitcoin,"Nov 14, 2019","8,811.94","8,826.94","8,692.55","8,708.10","19,084,739,975","157,160,974,644"
bitcoin,"Nov 13, 2019","8,812.03","8,836.84","8,761.65","8,808.26","17,545,755,405","158,949,942,842"
bitcoin,"Nov 12, 2019","8,759.75","8,853.77","8,685.43","8,815.66","20,309,769,107","159,068,712,900"
bitcoin,"Nov 11, 2019","9,056.92","9,081.28","8,700.61","8,757.79","20,265,510,765","158,009,772,437"
bitcoin,"Nov 10, 2019","8,812.49","9,103.83","8,806.16","9,055.53","20,587,919,881","163,364,406,732"
bitcoin,"Nov 09, 2019","8,809.47","8,891.82","8,793.16","8,813.58","17,578,630,606","158,981,489,715"
bitcoin,"Nov 08, 2019","9,265.37","9,272.76","8,775.53","8,804.88","24,333,037,836","158,808,570,729"
bitcoin,"Nov 07, 2019","9,352.39","9,368.48","9,202.35","9,267.56","22,700,383,839","167,138,722,904"
bitcoin,"Nov 06, 2019","9,340.86","9,423.24","9,305.91","9,360.88","23,133,895,765","168,806,151,583"
bitcoin,"Nov 05, 2019","9,413.00","9,457.42","9,256.93","9,342.53","26,198,609,048","168,459,778,835"
bitcoin,"Nov 04, 2019","9,235.61","9,505.05","9,191.49","9,412.61","26,170,255,634","169,706,332,936"
bitcoin,"Nov 03, 2019","9,324.79","9,379.81","9,141.25","9,235.35","21,132,220,847","166,495,319,475"
bitcoin,"Nov 02, 2019","9,259.78","9,377.49","9,249.59","9,324.72","21,242,676,385","168,090,392,935"
bitcoin,"Nov 01, 2019","9,193.99","9,275.66","9,132.05","9,261.10","24,324,691,031","166,928,044,164"
bitcoin,"Oct 31, 2019","9,202.46","9,383.16","9,028.72","9,199.58","26,583,653,947","165,804,227,835"
bitcoin,"Oct 30, 2019","9,422.46","9,426.87","9,085.37","9,205.73","27,706,531,577","165,899,500,650"
bitcoin,"Oct 29, 2019","9,248.44","9,516.18","9,232.65","9,427.69","28,426,779,937","169,883,866,262"
bitcoin,"Oct 28, 2019","9,565.10","9,805.12","9,256.15","9,256.15","30,948,255,332","166,777,392,742"
bitcoin,"Oct 27, 2019","9,241.71","9,749.53","9,112.54","9,551.71","32,593,129,501","172,087,039,875"
bitcoin,"Oct 26, 2019","8,667.58","10,021.74","8,662.62","9,244.97","44,496,255,609","166,547,360,782"
bitcoin,"Oct 25, 2019","7,490.70","8,691.54","7,479.98","8,660.70","28,705,065,488","156,006,603,607"
bnb,"Dec 04, 2019",15.35,15.69,15.01,15.28,"237,605,471","2,376,597,490"
bnb,"Dec 03, 2019",15.19,15.55,15.05,15.31,"219,927,266","2,381,198,047"
bnb,"Dec 02, 2019",15.51,15.71,15.15,15.19,"200,809,249","2,362,891,697"
bnb,"Dec 01, 2019",15.74,15.74,15.05,15.5,"203,268,417","2,410,249,227"
bnb,"Nov 30, 2019",16.26,16.37,15.54,15.72,"213,428,131","2,444,407,390"
